2
3	65	197	28
3	65	196	30
3	65	198	30
3	65	197	32
3	65	196	34
3	65	198	34
3	65	197	36
3	65	196	38
3	65	198	38
3	65	195	40
3	65	197	40
3	65	196	42
3	65	198	42
3	65	195	44
3	65	197	44
3	65	196	46
3	65	198	46
3	65	195	48
3	65	197	48
3	65	196	50
3	65	198	50
3	65	195	52
3	65	197	52
3	65	197	54
3	65	199	54
3	65	199	56
3	65	201	56
3	65	203	56
3	65	202	58
3	65	204	58
3	65	206	58
3	65	205	60
3	65	207	60
3	65	207	62
3	65	209	62
3	65	210	64
3	65	212	64
3	65	212	66
3	65	214	66
3	65	213	68
3	65	215	68
3	65	215	70
3	65	217	70
3	65	218	72
3	65	220	72
3	65	219	74
3	65	221	74
3	65	220	76
3	65	219	78
3	65	221	78
3	65	220	80
3	65	219	82
3	65	221	82
3	65	220	84
3	65	219	86
3	65	221	86
3	65	220	88
3	65	219	90
3	65	221	90
3	65	220	92
3	65	220	94
3	65	222	94
3	65	221	96
3	65	222	96
3	65	223	96
3	65	222	97
3	65	223	97
3	65	224	97
3	65	223	98
3	65	224	98
3	65	225	98
end
