2
	3	67	108	62
	3	67	110	62
	3	67	108	66
	3	67	110	66
	3	67	108	70
	3	67	110	70
	3	67	108	74
	3	67	110	74
	3	67	108	78
	3	67	110	78
	3	67	108	82
	3	67	110	82
	3	67	108	86
	3	67	110	86
	3	67	108	90
	3	67	110	90
	3	67	108	94
	3	67	110	94
	3	67	108	98
	3	67	110	98
	3	67	108	102
	3	67	110	102
	3	67	108	106
	3	67	110	106
	3	67	108	110
	3	67	110	110
	3	67	108	114
	3	67	110	114
	3	67	108	118
	3	67	110	118

	3	67	107	64
	3	67	109	64
	3	67	107	68
	3	67	109	68
	3	67	107	72
	3	67	109	72
	3	67	107	76
	3	67	109	76
	3	67	107	80
	3	67	109	80
	3	67	107	84
	3	67	109	84
	3	67	107	88
	3	67	109	88
	3	67	107	92
	3	67	109	92
	3	67	107	96
	3	67	109	96
	3	67	107	100
	3	67	109	100
	3	67	107	104
	3	67	109	104
	3	67	107	108
	3	67	109	108
	3	67	107	112
	3	67	109	112
	3	67	107	116
	3	67	109	116
	3	67	107	120
	3	67	109	120

	3	67	108	122
	3	67	110	122
	3	67	108	124
	3	67	110	124
	3	67	108	126
	3	67	110	126
	3	67	108	130
	3	67	110	130
	3	67	108	134
	3	67	110	134
	3	67	108	138
	3	67	110	138
	3	67	108	142
	3	67	110	142
	3	67	108	146
	3	67	110	146

	3	67	107	128
	3	67	109	128
	3	67	107	132
	3	67	109	132
	3	67	107	136
	3	67	109	136
	3	67	107	140
	3	67	109	140
	3	67	107	144
	3	67	109	144

	3	67	109	148
	3	67	111	148
	3	67	109	150
	3	67	111	150	
end
