// CloseTime, OpenTime, PlayTime
0
35	5	20
end

// Event Monster Settings
// Square, MonsterId, StartTime, EndTime
1
0	17	0	7
0	15	0	7
0	5	5	14
0	13	5	14
0	8	12	20
0	36	12	20

1	10	0	7
1	39	0	7
1	34	5	14
1	41	5	14
1	40	12	20
1	35	12	20

2	41	0	7
2	37	0	7
2	35	5	14
2	180	5	14
2	64	12	20
2	65	12	20

3	64	0	7
3	65	0	7
3	60	5	14
3	294	5	14
3	57	12	20
3	70	12	20

4	294	0	7
4	60	0	7
4	71	5	14
4	190	5	14
4	61	12	20
4	73	12	20

5	290	0	7
5	57	0	7
5	70	5	14
5	293	5	14
5	74	12	20
5	292	12	20

6	434	0	7
6	435	0	7
6	436	5	14
6	437	5	14
6	438	12	20
6	439	12	20
end

// Event Boss Settings
// Square, MonsterID, StartTime, X1, Y1, X2, Y2
2
0	18	15	119 80   150  115
0	18	15	119 80   150  115
0	18	15	119 80   150  115
0	18	15	119 80   150  115
0	18	15	119 80   150  115

1	49	15	121 152 151 184
1	49	15	121 152 151 184
1	49	15	121 152 151 184
1	49	15	121 152 151 184
1	49	15	121 152 151 184

2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173

3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109

4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115

5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184

6	440	15	50 138 79 173
6	440	15	50 138 79 173
6	440	15	50 138 79 173
6	440	15	50 138 79 173
6	440	15	50 138 79 173
end



// Event Start Time (hour / min)
4
	0	00
	1	00
	2	00
	3	00
	4	00
	5	00
	6	00
	7	00
	8	00
	9	00
	10	00
	11	00
	12	00
	13	00
	14	00
	15	00
	16	00
	17	00
	18	00
	19	00
	20	00
	21	00
	22	00
	23	00
end

// Reward Multiplier
5
0	1.0			// 1 Square
1	1.0			// 2 Square
2	1.0			// 3 Square
3	1.0			// 4 Square
4	1.0			// 5 Square
5	1.0			// 6 Square
6	1.0			// 7 Square
end

