//===================================================================================
// zGameServer
// ----------------------------------------------------------------------------------
// Description:	Castle Deep configuration
// ----------------------------------------------------------------------------------
// Revision: 	21:41 07.08.2013
//===================================================================================

//=====================================
// Event timer (24 format)
//=====================================
0
// ----------------------------------------------------------------------------------
//	Hour	Minute
// ----------------------------------------------------------------------------------
	20	00
end

//=====================================
// Monster assault
//=====================================
1
// ----------------------------------------------------------------------------------
//	AssType	Rate
// ----------------------------------------------------------------------------------
	1	50
	2	50
end

//=====================================
// Monster spawn
//=====================================
2
// ----------------------------------------------------------------------------------
//	AssType	Group	SpawnMin
// ----------------------------------------------------------------------------------
	1	1	0
	1	2	10
	1	3	20
	2	1	0
	2	2	10
	2	3	20
end

//=====================================
// Monster info
//=====================================
3
// ----------------------------------------------------------------------------------
//	AssType	Group	Type	Number	sX	sY	dX	dY
// ----------------------------------------------------------------------------------
//-> Type 1
	1	1	39	40	60	28	132	73	//-> Group 1
	1	1	34	40	60	28	132	73
	1	1	41	40	60	28	132	73
	1	1	37	40	60	28	132	73
	1	1	40	40	60	28	132	73
	1	1	35	40	60	28	132	73
	1	1	48	40	60	28	132	73
	1	1	62	40	60	28	132	73
	1	1	300	1	60	28	132	73
	1	2	69	40	60	58	132	101	//-> Group 2
	1	2	60	40	60	58	132	101
	1	2	71	40	60	58	132	101
	1	2	57	40	60	58	132	101
	1	2	70	40	60	58	132	101
	1	2	58	40	60	58	132	101
	1	2	61	40	60	58	132	101
	1	2	73	40	60	58	132	101
	1	2	74	40	60	58	132	101
	1	2	72	40	60	58	132	101
	1	2	301	1	60	58	132	101
	1	3	49	30	60	58	132	101	//-> Group 3
	1	3	139	30	60	58	132	101
	1	3	123	30	60	58	132	101
	1	3	59	30	60	58	132	101
	1	3	74	30	60	58	132	101
	1	3	63	30	60	58	132	101
	1	3	293	50	60	58	132	101
	1	3	292	50	60	58	132	101
	1	3	291	50	60	58	132	101
	1	3	303	1	60	58	132	101
//-> Type 2
	2	1	39	30	60	28	132	73	//-> Group 1
	2	1	34	30	60	28	132	73
	2	1	41	30	60	28	132	73
	2	1	37	30	60	28	132	73
	2	1	40	30	60	28	132	73
	2	1	35	30	60	28	132	73
	2	1	48	30	60	28	132	73
	2	1	62	30	60	28	132	73
	2	1	300	1	60	28	132	73
	2	2	294	30	60	58	132	101	//-> Group 2
	2	2	290	30	60	58	132	101
	2	2	193	30	60	58	132	101
	2	2	194	30	60	58	132	101
	2	2	192	30	60	58	132	101
	2	2	190	30	60	58	132	101
	2	2	195	30	60	58	132	101
	2	2	61	30	60	58	132	101
	2	2	73	30	60	58	132	101
	2	2	127	30	60	58	132	101
	2	2	302	1	60	58	132	101
	2	3	49	30	60	58	132	101	//-> Group 3
	2	3	139	30	60	58	132	101
	2	3	123	30	60	58	132	101
	2	3	59	30	60	58	132	101
	2	3	74	30	60	58	132	101
	2	3	63	30	60	58	132	101
	2	3	293	50	60	58	132	101
	2	3	292	50	60	58	132	101
	2	3	291	50	60	58	132	101
	2	3	303	1	60	58	132	101
	2	3	295	1	60	58	132	101
end
