//===================================================================================
// zGameServer
// ----------------------------------------------------------------------------------
// Description:	Blood Castle configuration
// ----------------------------------------------------------------------------------
// Revision: 	3:36 16.02.2014
//===================================================================================

//=====================================
// Intervals (all values in minutes)
//=====================================
0
// ----------------------------------------------------------------------------------
// 	OpeningTime	EventTime	ClosingTime
// ----------------------------------------------------------------------------------
	5		15		1
end

//=====================================
// Items
//=====================================
1
// ----------------------------------------------------------------------------------
// 	ItemRate	ExcRate		DisappearTime
// ----------------------------------------------------------------------------------
	100		1200		1
end


//=====================================
// Elements
//=====================================
2
// ----------------------------------------------------------------------------------
// 	Level	GateHP	StatueHP
// ----------------------------------------------------------------------------------
	0	65000	150000
	1	105000	205000
	2	145000	260000
	3	185000	325000
	4	225000	400000
	5	265000	480000
	6	305000	565000
	7	345000	650000
end

//=====================================
// Experience reward
//=====================================
3
// ----------------------------------------------------------------------------------
// 	Level	ExpX
// ----------------------------------------------------------------------------------
	0	1.0
	1	1.0
	2	1.0
	3	1.0
	4	1.0
	5	1.0
	6	1.0
	7	1.0
end

//=====================================
// Event timer (24 format)
//=====================================
4
// ----------------------------------------------------------------------------------
// 	Hour	Minute
// ----------------------------------------------------------------------------------
	0	30
	1	30
	2	30
	3	30
	4	30
	5	30
	6	30
	7	30
	8	30
	9	30
	10	30
	11	30
	12	30
	13	30
	14	30
	15	30
	16	30
	17	30
	18	30
	19	30
	20	30
	21	30
	22	30
	23	30
end
