//===================================================================================
// zGameServer
// ----------------------------------------------------------------------------------
// Description:	Chaos Castle configuration
// ----------------------------------------------------------------------------------
// Revision: 	20:17 13.12.2013
//===================================================================================

//=====================================
// Intervals (all values in minutes)
//=====================================
0
// ----------------------------------------------------------------------------------
//	Opening	Playing	Closing
// ----------------------------------------------------------------------------------
	5	10	1
end

//=====================================
// Items
//=====================================
1
// ----------------------------------------------------------------------------------
// 	ItemRate	ExcRate		DisappearTime
// ----------------------------------------------------------------------------------
	100		1200		0
end

//=====================================
// Event timer (24 format)
//=====================================
2
// ----------------------------------------------------------------------------------
// 	Hour	Minute
// ----------------------------------------------------------------------------------
	0	35
	1	35
	12	35
	14	35
	16	35
	18	35
	20	35
	21	35
	22	35
	23	35
end

//=====================================
// Extra item rate (n/10000)
//=====================================
3
	2
end

//=====================================
// Experience reward
//=====================================
4
// ----------------------------------------------------------------------------------
// 	Level	ExpX
// ----------------------------------------------------------------------------------
	0	1.0
	1	1.0
	2	1.0
	3	1.0
	4	1.0
	5	1.0
	6	1.0
end
