//===================================================================================
// zGameServer
// ----------------------------------------------------------------------------------
// Description: Socket item configuration
// ----------------------------------------------------------------------------------
// Revision: 	4:01 03.07.2014
//===================================================================================

//=====================================
// Sphere Options
//=====================================									
0
// -------------------------------------------------------------------------------------------------------------------------------
//     Type	Level	Name					OptType	Value1	Value2	Value3	Value4	Value5	ExtRate
// -------------------------------------------------------------------------------------------------------------------------------
//-> (Fire)
0	1	0	"Increases Attack & Wizardry"		3	20	19	18	17	14	30        
1	1	1	"Increases Attack Speed"		1	7	8	9	10	11	20        
2	1	2	"Increases Maximum Attack & Wizardry"	1	30	32	35	40	50	30        
3	1	3	"Increases Minimum Attack & Wizardry"	1	20	22	25	30	35	40        
4	1	4	"Increases Attack & Wizardry"		1	20	22	25	30	35	20        
5	1	5	"Reduces AG Slightly"			2	40	41	42	43	44	30   								
//-> (Water)											
10	2	0	"Increases Defensibility Accuracy"	2	10	11	12	13	14	10        
11	2	1	"Increases Defensibility"		1	30	33	36	39	42	30        
12	2	2	"Increases Shield Protection"		2	7	10	15	20	30	50        
13	2	3	"Reduces Damage"			2	4	5	6	7	8	20        
14	2	4	"Reflects Damage"			2	5	6	7	8	9	40   								
//-> (Ice)											
16	3	0	"Increases Health From a Mob Kill"	4	8	7	6	5	4	30    
17	3	1	"Increases Mana From a Mob Kill"	5	8	7	6	5	4	20    
18	3	2	"Increases Skill Attack"		1	37	40	45	50	60	10    
19	3	3	"Increases Attack Accuracy"		1	25	27	30	35	40	50    
20	3	4	"Item Strenghthener"			2	30	32	34	36	38	30   		
//-> (Wind)												
21	4	0	"Increases Automatic Health Recovery"	1	8	10	13	16	20	40    
22	4	1	"Increases Maximum Health"		2	4	5	6	7	8	30        
23	4	2	"Increases Maximum Mana"		2	4	5	6	7	8	40        
24	4	3	"Increases Automatic Mana Recovery"	1	7	14	21	28	35	50        
25	4	4	"Increases Maximum AG"			1	25	30	35	40	50	40        
26	4	5	"Increases AG Value"			1	3	5	7	10	15	50    									
//-> (Lightning)												
29	5	0	"Increases Excellent Damage"		1	15	20	25	30	40	20    
30	5	1	"Increases Excellent Damage Rate"	2	10	11	12	13	14	10    
31	5	2	"Increases Critical Damage"		1	30	32	35	40	50	30    
32	5	3	"Increases Critical Damage Rate"	2	8	9	10	11	12	10
36	6	2	"Increases Health"			1	30	32	34	36	38	10    		
end

//=====================================
// Bonus Options (Start / End = Item type)
//=====================================												
1
// -------------------------------------------------------------------------------------------------------------------------------
//	Start	End	Name					OptType	Value	ExtRate	Slot1	Slot2	Slot3	Slot4	Slot5
// -------------------------------------------------------------------------------------------------------------------------------
0	0	4	"Increases Attack Power"		1	11	30	1	5	3	0	0    
1	0	4	"Increases Skill Attack"		1	11	30	5	3	1	0	0    
2	5	5	"Increases Attack & Wizardry"		1	5	30	1	5	3	0	0    
3	5	5	"Increases Skill Attack"		1	11	30	5	3	1	0	0    
4	6	12	"Increases Defensibility"		1	24	30	2	6	4	0	0    
5	6	12	"Increases Maximum Health"		1	29	30	6	4	2	0	0    
end

//=====================================
// Set Options
//=====================================										
2
// -------------------------------------------------------------------------------------------------------------------------------
//	Type	Name					OptType	Value	ExtRate	Index1	Index2	Index3	Index4	Index5	Index6
// -------------------------------------------------------------------------------------------------------------------------------
0	0	"Increases Double Damage Rate"		2	3	100	1	1	1	1	1	1
1	0	"Reduces Opponent's Defens."		2	1	100	1	3	1	3	1	2
end

//=====================================
// Socket item list
//=====================================										
3
// -------------------------------------------------------------------------------------------------------------------------------
//	ItemType	ItemIndex
// -------------------------------------------------------------------------------------------------------------------------------
//-> Weapons
	0 			26
	0 			27
	0 			28
	0 			29
	0 			30
	0 			36
	0 			37
//-> Scepeters
	2 			16
	2 			17
	2 			19
	2 			20
//-> Spears
	3 			12
//-> Bows
	4 			23
	4 			25
	4 			26
//-> Staffs
	5 			20
	5 			30
	5 			31
	5 			32
	5 			35
	5 			37
//-> Shields
	6 			17
	6 			18
	6 			19
	6 			20
	6 			22
	6 			23
	6 			24
	6 			25
	6 			26
//-> Helms
	7 			44
	7 			45
	7 			46
	7 			49
	7 			50
	7 			51
	7 			52
	7 			53
	7 			54
	7 			55
	7 			56
	7 			58
	7 			74
	7 			75
//-> Armors
	8 			44
	8 			45
	8 			46
	8			47
	8 			48
	8 			49
	8 			50
	8 			51
	8 			52
	8 			53
	8 			54
	8 			55
	8 			56
	8 			57
	8 			58
	8 			74
	8 			75
	8 			76
//-> Pants
	9 			44
	9 			45
	9 			46
	9			47
	9 			48
	9 			49
	9 			50
	9 			51
	9 			52
	9 			53
	9 			54
	9 			55
	9 			56
	9 			57
	9 			58
	9 			74
	9 			75
	9 			76
//-> Gloves
	10 			44
	10 			45
	10 			46
	10			47
	10 			48
	10 			49
	10			50
	10			51
	10 			52
	10 			53
	10			54
	10			55
	10			56
	10			57
	10			58
	10			74
	10			75
	10			76
//-> Boots
	11 			44
	11 			45
	11 			46
	11			47
	11 			48
	11 			49
	11			50
	11			51
	11 			52
	11 			53
	11			54
	11			55
	11			56
	11			57
	11			58
	11			74
	11			75
	11			76
end
