0	1	1	0	1	20	4	0	0	300	12.040000
1	4	1	0	1	20	0	0	0	301	614.080017
2	6	1	0	1	20	3	0	0	302	511.730011
3	7	1	0	1	20	3	0	0	303	1.810000
4	8	1	0	1	20	3	0	0	304	1.200000
5	9	1	0	1	20	4	300	0	305	12.040000
6	10	1	0	1	20	0	302	0	306	1.200000
7	11	1	0	1	20	3	303	0	307	1.200000
8	12	1	0	1	20	3	304	0	308	1.200000
9	14	1	0	1	20	3	0	0	309	60.200001
10	15	1	0	1	20	0	307	0	310	1.200000
11	16	1	0	1	20	0	308	0	311	1.200000
12	17	1	0	1	20	0	305	0	312	12.040000
13	18	1	0	1	20	0	309	0	313	1.200000
14	23	1	0	1	20	1	0	0	315	6.320000
15	24	1	0	1	20	0	315	0	316	1.000000
16	25	1	0	1	20	0	0	0	317	12.040000
17	26	1	0	1	20	0	0	0	318	12.040000
18	27	1	0	1	20	0	0	0	319	12.040000
19	28	1	0	1	20	0	0	0	320	12.040000
20	30	1	0	1	20	3	0	0	322	12.040000
21	34	1	0	1	20	0	322	0	324	12.040000
22	37	1	1	1	20	0	0	0	325	511.730011
23	41	1	1	1	20	0	0	0	326	6.320000
24	42	1	1	1	20	0	0	0	327	8.830000
25	43	1	1	1	20	0	0	0	328	8.830000
26	44	1	1	1	20	0	0	0	329	8.830000
27	45	1	1	1	20	3	0	0	330	8.830000
28	46	1	1	1	20	3	0	0	331	5.020000
29	49	1	1	1	20	0	330	0	332	1.200000
30	50	1	1	1	20	0	331	0	333	1.200000
31	51	1	1	1	20	3	0	0	334	102.349998
32	52	1	1	1	20	0	0	0	335	5.020000
33	53	1	1	1	20	3	0	0	336	5.020000
34	54	1	1	1	20	3	0	0	337	5.020000
35	55	1	1	1	20	3	334	0	338	102.349998
36	57	1	1	1	20	3	336	0	339	1.810000
37	58	1	1	1	20	3	337	0	340	1.810000
38	59	1	1	1	20	0	338	0	341	27.690001
39	61	1	1	1	20	0	339	0	342	1.810000
40	62	1	1	1	20	0	340	0	343	1.200000
41	65	1	1	1	20	0	0	0	345	1.810000
42	66	1	1	10	10	3	0	0	344	-1.000000
43	70	1	1	1	20	0	344	0	346	5.020000
44	73	1	2	1	20	0	0	0	347	818.770020
45	77	1	2	1	20	3	0	0	348	8.830000
46	78	1	2	1	20	3	0	0	349	5.020000
47	79	1	2	1	20	3	0	0	350	6.320000
48	80	1	2	1	20	3	0	0	351	6.320000
49	81	1	2	1	20	0	348	0	352	11.540000
50	82	1	2	1	10	0	349	0	353	1.000000
51	83	1	2	1	20	0	350	0	354	1.200000
52	84	1	2	1	20	0	351	0	355	1.200000
53	85	1	2	1	20	3	0	0	356	1.810000
54	86	1	2	1	20	0	0	0	357	7.220000
55	87	1	2	1	20	0	0	0	358	9.140000
56	88	1	2	1	20	3	0	0	359	43.189999
57	89	1	2	1	20	3	356	0	360	1.810000
58	90	1	2	1	20	3	0	0	361	5.020000
59	92	1	2	1	20	0	359	0	362	43.189999
60	93	1	2	1	20	0	360	0	363	1.810000
61	94	1	2	1	20	0	361	0	364	6.320000
62	96	1	2	1	20	3	0	0	366	1.000000
63	98	1	2	1	20	0	0	0	367	1.000000
64	99	1	2	1	20	3	0	0	368	1.000000
65	100	1	2	1	20	0	366	0	369	1.000000
66	102	1	2	1	20	3	0	0	370	1.000000
67	103	1	2	1	20	0	368	0	372	1.000000
68	106	1	2	1	20	0	370	0	371	1.000000
69	1	2	0	1	20	4	0	0	300	12.040000
70	4	2	0	1	20	0	0	0	301	614.080017
71	6	2	0	1	20	3	0	0	302	511.730011
72	7	2	0	1	20	3	0	0	303	1.810000
73	8	2	0	1	20	3	0	0	304	1.200000
74	9	2	0	1	20	4	300	0	305	12.040000
75	10	2	0	1	20	0	302	0	306	1.200000
76	11	2	0	1	20	3	303	0	307	1.200000
77	12	2	0	1	20	3	304	0	308	1.200000
78	14	2	0	1	20	3	0	0	309	60.200001
79	15	2	0	1	20	0	307	0	310	1.200000
80	16	2	0	1	20	0	308	0	311	1.200000
81	17	2	0	1	20	0	305	0	312	12.040000
82	18	2	0	1	20	0	309	0	313	1.200000
83	23	2	0	1	20	1	0	0	315	6.320000
84	24	2	0	1	20	0	315	0	316	1.000000
85	25	2	0	1	20	0	0	0	317	12.040000
86	26	2	0	1	20	0	0	0	318	12.040000
87	27	2	0	1	20	0	0	0	319	12.040000
88	28	2	0	1	20	0	0	0	320	12.040000
89	30	2	0	1	20	3	0	0	375	12.040000
90	34	2	0	1	20	0	375	0	377	12.040000
91	37	2	1	1	20	0	0	0	325	511.730011
92	41	2	1	1	20	3	0	0	378	8.830000
93	42	2	1	1	20	3	0	0	379	8.830000
94	43	2	1	1	20	3	0	0	380	1.200000
